unit_number,time_in_cycles,operational_setting_1,operational_setting_2,operational_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,max_cycle,RUL,cycle_ratio,life_stage,near_failure,capped_RUL,sensor_11_roll20,sensor_4_roll20,sensor_12_roll20,sensor_7_roll20,sensor_15_roll20,sensor_21_roll20,sensor_20_roll20,sensor_2_roll20,sensor_17_roll20,sensor_3_roll20
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.0,39.06,23.419,192,191,0.005208333333333333,early,0,125,47.47,1400.6,521.66,554.36,8.4195,23.419,39.06,641.82,392.0,1589.7
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.0,39.0,23.4236,192,190,0.010416666666666666,early,0,125,47.480000000000004,1401.87,521.97,554.0550000000001,8.425650000000001,23.421300000000002,39.03,641.985,392.0,1590.76
1,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.0,38.95,23.3442,192,189,0.015625,early,0,125,47.410000000000004,1402.6466666666668,522.12,554.1233333333333,8.423033333333334,23.3956,39.00333333333334,642.1066666666667,391.3333333333333,1589.8366666666668
1,4,0.0007,0.0,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.0,38.88,23.3739,192,188,0.020833333333333332,early,0,125,47.34,1402.4524999999999,522.305,554.205,8.409324999999999,23.390175,38.972500000000004,642.1675,391.5,1588.075
1,5,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,14.62,21.61,554.0,2388.06,9055.15,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100.0,38.9,23.4044,192,187,0.026041666666666668,early,0,125,47.328,1403.206,522.2819999999999,554.164,8.41334,23.39302,38.958000000000006,642.208,391.8,1587.03
1,6,-0.0043,-0.0001,100.0,518.67,642.1,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100.0,38.98,23.3669,192,186,0.03125,early,0,125,47.300000000000004,1402.3999999999999,522.1816666666667,554.2483333333333,8.412916666666666,23.388666666666666,38.961666666666666,642.19,391.6666666666667,1586.6033333333332
1,7,0.001,0.0001,100.0,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100.0,39.1,23.3774,192,185,0.036458333333333336,early,0,125,47.30857142857143,1401.7385714285715,522.2014285714286,554.2614285714286,8.4107,23.387057142857145,38.98142857142857,642.2314285714285,391.7142857142857,1587.42
1,8,-0.0034,0.0003,100.0,518.67,642.56,1582.96,1400.97,14.62,21.61,553.85,2388.0,9040.8,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100.0,38.97,23.3106,192,184,0.041666666666666664,early,0,125,47.3,1401.6425,522.235,554.21,8.4103125,23.3775,38.980000000000004,642.2725,391.625,1586.8625
1,9,0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100.0,39.05,23.4066,192,183,0.046875,early,0,125,47.29888888888889,1400.8822222222223,522.1855555555555,554.1522222222222,8.406144444444443,23.380733333333335,38.98777777777778,642.2555555555556,391.6666666666667,1587.32
1,10,-0.0033,0.0001,100.0,518.67,641.71,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100.0,38.95,23.4694,192,182,0.052083333333333336,early,0,125,47.272000000000006,1400.84,522.146,554.096,8.40839,23.3896,38.984,642.201,391.8,1587.712
1,11,0.0018,-0.0003,100.0,518.67,642.28,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100.0,38.94,23.4787,192,181,0.057291666666666664,early,0,125,47.26090909090909,1400.8218181818183,522.0781818181817,554.1363636363636,8.410718181818181,23.3977,38.98,642.2081818181819,391.8181818181818,1587.1699999999998
1,12,0.0016,0.0002,100.0,518.67,642.06,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100.0,39.06,23.366,192,180,0.0625,early,0,125,47.25416666666666,1400.7658333333331,522.055,554.1683333333334,8.409308333333334,23.395058333333335,38.98666666666667,642.1958333333333,391.75,1586.8566666666666
1,13,-0.0019,0.0004,100.0,518.67,643.07,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100.0,38.93,23.2757,192,179,0.06770833333333333,early,0,125,47.26384615384616,1400.7707692307692,522.0392307692308,554.1123076923077,8.409761538461538,23.38587692307692,38.98230769230769,642.2630769230769,391.84615384615387,1586.4976923076924
1,14,0.0009,-0.0,100.0,518.67,642.35,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393,2388,100.0,39.18,23.3826,192,178,0.07291666666666667,early,0,125,47.276428571428575,1400.6557142857143,522.0128571428571,554.1385714285715,8.408807142857142,23.38564285714286,38.996428571428574,642.2692857142857,391.92857142857144,1586.9585714285713
