unit_number,time_in_cycles,true_RUL,pred_final,abs_error
1,31,112,175.7595625568252,63.75956255682519
45,152,114,58.83862752500535,55.16137247499465
22,39,111,164.10209918218888,53.10209918218888
93,244,85,33.870984675402084,51.129015324597916
78,72,107,157.15642855476688,50.156428554766876
12,217,124,74.27146675729156,49.72853324270844
67,71,77,125.09911992254196,48.09911992254196
30,143,115,67.54989750389451,47.45010249610549
89,177,136,91.80548447914725,44.19451552085275
13,195,95,53.57688559754908,41.42311440245092
50,74,79,119.74044855181256,40.74044855181256
15,76,83,123.69659936006161,40.69659936006161
87,56,116,156.38090811233678,40.38090811233678
2,49,98,138.14868033696496,40.14868033696496
27,140,66,104.85977536224593,38.85977536224593
16,113,84,122.7528227386697,38.75282273866971
74,137,126,90.14782877955251,35.85217122044749
85,34,118,151.90782051150384,33.90782051150384
23,130,113,144.72788406860926,31.727884068609256
3,126,69,37.38401984052312,31.615980159476877
