sensor,mean_early,mean_mid,mean_late,shift_early_to_late,pct_shift
sensor_1,518.67,518.67,518.67,0.0,0.0
sensor_2,642.3913817053348,642.5463766252321,643.1035353241077,0.7121536187729589,0.11085977163679075
sensor_3,1587.064817496675,1588.909565652236,1595.5770997815002,8.512282284825233,0.5363537891446621
sensor_4,1402.993344170238,1406.3102614659235,1417.464147123088,14.470802952849908,1.0314234927043269
sensor_5,14.62,14.62,14.619999999999997,-1.7763568394002505e-15,-1.2150183580029073e-14
sensor_6,21.609584749519726,21.609831404486354,21.609989803350327,0.00040505383060107647,0.0018744174647320738
sensor_7,553.9233619033546,553.6292698956994,552.5533284777858,-1.3700334255687494,-0.24733266725944394
sensor_8,2388.059349785725,2388.079729961423,2388.1506729788784,0.09132319315358473,0.003824159276517937
sensor_9,9056.540681247228,9060.521961708815,9078.634101966496,22.09342071926767,0.243949886572199
sensor_10,1.3,1.3,1.3,0.0,0.0
sensor_11,47.36112457514408,47.46191741677383,47.79943918426803,0.4383146091239496,0.9254733983955787
sensor_12,521.8915280035467,521.6288541220174,520.7226482155863,-1.1688797879603499,-0.22396987213641958
sensor_13,2388.058287276489,2388.079217031004,2388.1507428987616,0.09245562227260962,0.003871581475427577
sensor_14,8137.759029111867,8140.326702386055,8153.153746540423,15.39471742855585,0.18917637366114032
sensor_15,8.41918636027782,8.430968524074869,8.476172279679535,0.056985919401714824,0.6768577979289958
sensor_16,0.03,0.03,0.03,0.0,0.0
sensor_17,392.2990985665731,392.78996999571365,394.53809176984703,2.2389932032739353,0.570736260025838
sensor_18,2388.0,2388.0,2388.0,0.0,0.0
sensor_19,100.0,100.0,100.0,0.0,0.0
sensor_20,38.9280375350968,38.86506500928704,38.65635251274581,-0.27168502235098657,-0.6979160511393373
sensor_21,23.356571109797546,23.319089627089586,23.193836314639476,-0.16273479515806955,-0.6967409488022239
